,Nome,Ano,Nota,Assistido
0,The Starfish,1928,5.0,2016-10-12
1,Rome Open City,1945,3.0,2020-04-14
2,Casque d'Or,1952,4.0,2020-04-25
3,Tokyo Story,1953,3.0,2020-06-01
4,Street of Shame,1956,3.0,2020-05-08
5,Elena and Her Men,1956,3.0,2021-03-31
6,Equinox Flower,1958,4.0,2020-05-20
7,Psycho,1960,4.5,2020-06-15
8,The Given Word,1962,4.0,2021-06-03
9,Le Bonheur,1965,4.5,2020-05-04
10,Now!,1965,3.0,2021-05-12
11,Eye for an Eye,1966,2.5,2020-06-30
12,Roberto Carlos em Ritmo de Aventura,1968,2.0,2020-08-04
13,Beatles Electroniques,1969,,2020-06-02
14,Ecstasis,1969,,2020-07-29
15,For My Crushed Right Eye,1969,,2020-07-29
16,Metastasis,1971,,2020-07-29
17,The Godfather,1972,2.5,2020-09-14
18,Mona Lisa,1973,,2020-06-02
19,Megalopolis,1973,4.0,2020-06-30
20,Soul in the Eye,1973,4.5,2020-05-26
21,The Amulet of Ogum,1974,3.0,2020-07-06
22,Phantom,1975,,2020-07-28
23,The Kitchen,1975,,2021-01-06
24,Atman,1975,,2020-06-02
25,Everything Visible Is Empty,1975,,2020-07-28
26,Partido Alto,1976,5.0,2020-08-22
27,Taxi Driver,1976,3.0,2023-04-16
28,Saturday Night Fever,1977,0.5,2020-09-10
29,Sky Over Water,1978,3.5,2020-05-30
30,White Hole,1979,,2020-07-28
31,Talking Heads,1980,5.0,2018-10-10
32,Connection,1981,,2020-07-29
33,Relation,1982,,2020-07-29
34,Shift,1982,,2020-07-28
35,The State of Things,1982,4.0,2020-03-17
36,Dark Habits,1983,2.5,2021-05-14
37,Nostalgia,1983,4.0,2020-04-18
38,What Have I Done to Deserve This?,1984,2.5,2023-07-09
39,The Breakfast Club,1985,0.5,2020-04-23
40,Sway,1985,,2020-07-29
41,The Day Dorival Faced the Guards,1986,5.0,2020-06-28
42,She's Gotta Have It,1986,3.0,2020-09-10
43,Engram,1987,,2020-07-29
44,The Story of Fausta,1988,1.0,2020-06-20
45,Women on the Verge of a Nervous Breakdown,1988,2.0,2021-05-20
46,Fried Green Tomatoes,1991,2.0,2021-06-10
47,Esta Não é a Sua Vida,1991,4.0,2020-06-28
48,Basic Instinct,1992,0.5,2020-09-05
49,The Age of Innocence,1993,4.5,2020-10-04
50,Kika,1993,,2023-06-18
51,Three Colours: Blue,1993,4.0,2020-03-31
52,Hail Sarajevo,1993,4.0,2021-05-12
53,Three Colours: Red,1994,4.0,2020-04-04
54,Three Colours: White,1994,3.5,2020-04-02
55,Pulp Fiction,1994,4.0,2020-04-21
56,Foreign Land,1995,5.0,2020-06-29
57,Sense and Sensibility,1995,2.5,2023-04-02
58,The Flower of My Secret,1995,3.0,2021-05-20
59,A Starry Sky,1996,1.5,2020-06-30
60,Trainspotting,1996,3.5,2017-11-19
61,Secrets & Lies,1996,4.5,2020-05-14
62,Live Flesh,1997,1.5,2021-05-17
63,Four Days in September,1997,4.0,2020-08-17
64,Happy Together,1997,5.0,2020-03-15
65,Stepmom,1998,2.5,2021-07-22
66,The Truman Show,1998,3.0,2020-09-09
67,Being John Malkovich,1999,2.5,2020-05-05
68,The Mighty Spirit,1999,4.0,2021-07-12
69,The Deep End of the Ocean,1999,2.0,2023-05-13
70,Amores Perros,2000,4.0,2020-06-11
71,Erin Brockovich,2000,2.5,2021-07-23
72,O Sanduíche,2000,4.0,2020-07-03
73,Copacabana,2001,0.5,2021-07-31
74,Donnie Darko,2001,2.0,2020-04-14
75,Um Sol Alaranjado,2001,3.0,2021-05-16
76,Rabbits,2002,3.0,2020-06-15
77,Painted Fire,2002,3.5,2020-03-28
78,Talk to Her,2002,3.5,2023-06-30
79,Madame Satã,2002,3.5,2020-06-28
80,Red Dragon,2002,2.0,2021-03-19
81,Oldboy,2003,4.0,2019-04-29
82,The Middle of the World,2003,2.0,2020-08-17
83,Lost in Translation,2003,0.5,2020-09-03
84,Bad Education,2004,4.5,2023-07-03
85,O Lençol Branco,2004,3.0,2021-05-21
86,The Cordial Man's End,2004,0.5,2021-05-21
87,On the Fringes of São Paulo: Homeless,2004,3.0,2020-12-19
88,Daughters of the Wind,2005,3.0,2021-02-11
89,The Hitchhiker's Guide to the Galaxy,2005,2.5,2020-06-23
90,The Squid and the Whale,2005,2.0,2023-07-11
91,Marie Antoinette,2006,3.0,2023-03-21
92,Intervalo Clandestino,2006,0.5,2021-08-09
93,Volver,2006,4.0,2023-07-02
94,Babel,2006,3.5,2020-09-26
95,Podecrer!,2007,0.5,2021-07-24
96,A Peste da Janice,2007,2.0,2020-04-26
97,Love Songs,2007,1.0,2020-04-11
98,Playing,2007,5.0,2021-07-13
99,Minami em Close-up - A Boca em Revista,2008,4.0,2021-05-15
100,La Maison en Petits Cubes,2008,4.0,2020-09-27
101,Faço de Mim O Que Quero,2009,0.5,2021-05-15
102,Palavra (En)Cantada,2009,3.5,2021-09-25
103,An Education,2009,3.0,2023-03-31
104,In Therapy,2009,1.0,2020-12-14
105,Smoke Gets in Your Eyes,2009,1.0,2020-07-04
106,I Travel Because I Have to I Come Back Because I Love You,2009,5.0,2023-04-09
107,I Travel Because I Have to I Come Back Because I Love You,2009,4.0,2017-08-31
108,Handball,2010,3.5,2021-05-21
109,Love & Other Drugs,2010,0.5,2023-06-28
110,Reflections of a Blender,2010,3.0,2020-12-01
111,Colors & Boots,2010,2.0,2021-01-11
112,Matinta,2010,2.0,2021-01-11
113,Foli,2010,4.0,2020-06-09
114,Blue Valentine,2010,1.5,2023-05-15
115,The Sarcophagus,2010,2.5,2021-05-18
116,Lulu's Dream,2010,3.0,2020-04-16
117,Dona Sônia Pediu Uma Arma Para Seu Vizinho Alcides,2011,2.5,2021-04-27
118,Pariah,2011,4.0,2020-07-07
119,Extremely Loud & Incredibly Close,2011,0.5,2020-12-12
120,Melancholia,2011,2.5,2020-05-16
121,The Impassive Muse,2011,3.0,2020-04-15
122,Praça  Walt Disney,2011,2.5,2020-04-26
123,Drive,2011,3.0,2023-05-14
124,The Comforting Hand,2012,4.0,2019-04-03
125,Aluga-se,2012,3.0,2020-04-16
126,Frances Ha,2012,4.5,2017-11-04
127,The Broken Circle Breakdown,2012,4.0,2017-04-20
128,The Living Dead,2012,2.0,2021-05-22
129,Father’s Chair,2012,1.0,2020-12-04
130,Elena,2012,3.5,2015-07-12
131,Tropicália,2012,4.0,2020-07-05
132,Billi Pig,2012,0.5,2021-05-07
133,Film for Blind Poet,2012,4.0,2021-04-24
134,Rat Fever,2012,5.0,2019-01-18
135,About a Month,2013,2.5,2021-01-10
136,River's memory,2013,2.5,2020-04-27
137,Teen's Confessions,2013,0.5,2021-06-21
138,Buddies,2013,1.0,2020-05-06
139,Ski Lessons,2013,0.5,2021-05-17
140,Malaria,2013,4.0,2020-06-22
141,Everybody has its own way,2014,3.0,2021-05-16
142,Lila,2014,2.0,2021-02-02
143,Gone Girl,2014,1.5,2020-09-05
144,Sailor,2014,0.5,2020-07-09
145,The Honest Candidate,2014,0.5,2020-09-23
146,Janaína Colorida Feito o Céu,2014,3.0,2020-07-09
147,Eu Travesti?,2014,1.0,2021-04-22
148,Fifteen,2014,3.0,2020-10-07
149,Trust Me,2014,1.0,2020-12-18
150,Futuro Beach,2014,3.0,2021-04-26
151,Noturna,2014,2.0,2021-03-25
152,Ossos,2014,0.5,2020-06-30
153,Mia madre,2015,3.0,2020-05-19
154,Alike,2015,3.0,2021-01-10
155,A Culpa é do Neymar,2015,3.0,2020-09-22
156,Califórnia,2015,1.0,2020-09-30
157,Kbela,2015,5.0,2020-06-22
158,Backyard,2015,1.0,2021-05-21
159,Fire,2015,1.5,2020-06-15
160,They Will Have to Kill Us First,2015,3.0,2020-07-16
161,Story of a Feather,2015,2.5,2021-05-17
162,Trumbo,2015,2.5,2021-07-28
163,Guida,2015,5.0,2020-07-03
164,Som Guia,2015,4.0,2021-02-21
165,A Man Amidst Bees,2015,0.5,2021-02-28
166,Sweet Bean,2015,3.5,2020-05-04
167,Where I Grow Old,2016,4.0,2020-09-03
168,Sing,2016,,2023-09-09
169,The Last Portrait,2016,2.0,2020-06-02
170,The Girl Who Danced with the Devil,2016,3.0,2020-06-04
171,Fantasma da Saudade no Vale da Morte,2016,1.0,2020-06-30
172,We Are All Here,2016,5.0,2020-06-30
173,Frantz,2016,4.0,2020-04-07
174,Ruin,2016,3.0,2021-05-16
175,Louça de Deus,2016,2.0,2020-07-09
176,O Último Virgem,2016,0.5,2021-06-21
177,As Incríveis Artimanhas da Nuvem Cigana,2016,3.5,2021-09-28
178,Jonah,2016,0.5,2021-07-26
179,Itinerant State,2016,2.0,2021-04-27
180,Tropical Curse,2016,1.5,2021-04-24
181,Elis,2016,2.0,2021-02-16
182,The Handmaiden,2016,5.0,2019-04-21
183,The Other End,2016,0.5,2020-03-22
184,The Invisible Guest,2016,4.0,2021-01-04
185,Moonlight,2016,4.5,2020-04-29
186,Don't Call Me Son,2016,1.5,2020-10-03
187,Demonia: A Melodrama in 3 Acts,2016,4.0,2020-09-22
188,A Noite Mais Longa de Minha Vida,2016,2.0,2020-04-22
189,I Am Not Your Negro,2016,4.5,2021-01-09
190,It’s Never Nighttime in the Map,2016,4.5,2019-03-10
191,The Daytime Doorman,2016,0.5,2020-09-24
192,Diane Has the Right Shape,2017,4.0,2020-05-10
193,Rota de Fuga,2017,2.5,2020-07-04
194,WHAT DID JACK DO?,2017,1.0,2020-07-18
195,Good Manners,2017,3.5,2018-08-18
196,Legítima Defesa,2017,3.0,2020-05-06
197,Call Me by Your Name,2017,3.5,2018-02-10
198,The Movie of My Life,2017,2.0,2020-10-04
199,Intervenção,2017,0.5,2020-12-14
200,Baby Driver,2017,3.0,2021-01-03
201,Ruído,2017,2.0,2021-05-17
202,Life in Gray,2017,2.5,2020-09-29
203,Querida Mamãe,2017,0.5,2020-06-17
204,Araby,2017,4.0,2020-07-30
205,Gloria and Grace,2017,1.5,2020-08-03
206,Travessia,2017,3.0,2020-09-27
207,Mamata,2017,2.5,2020-05-11
208,Gosto se Discute,2017,0.5,2021-03-22
209,The Glass Castle,2017,2.0,2023-04-04
210,Saindo de Casa,2017,1.0,2020-07-17
211,Something Like That,2017,1.5,2021-02-10
212,Ícaro,2017,0.5,2020-07-17
213,Coffee with Cinnamon,2017,4.5,2019-02-27
214,Tous les rêves du monde,2017,3.0,2020-04-30
215,Fire Mouth,2017,4.5,2020-09-22
216,Friendly Beast,2017,1.0,2021-03-23
217,Um Dia é da Vida o Outro da Morte,2017,1.0,2020-04-22
218,Dunas do Barato,2017,3.5,2023-06-23
219,Vando aka Vedita,2017,1.0,2021-05-17
220,Thoroughbreds,2017,1.5,2021-03-16
221,Close-Knit,2017,3.5,2020-08-23
222,Just Like Our Parents,2017,2.0,2021-06-25
223,Mr & Mme Adelman,2017,1.0,2021-06-28
224,Felipa e o Foguete,2017,3.0,2021-01-22
225,Céu da Boca,2018,3.0,2020-05-12
226,Adoniran - Meu Nome é João Rubinato,2018,4.0,2020-08-05
227,Amnestia,2018,1.5,2020-05-03
228,Um Ensaio Sobre Ausência,2018,1.0,2020-05-03
229,Green Book,2018,2.5,2020-05-13
230,Brasil Impossível,2018,5.0,2023-04-09
231,Bridges over the Abyss,2018,4.0,2021-04-22
232,O Rabequeiro Maneta e a Fúria da Natureza,2018,4.0,2020-05-09
233,Bilby,2018,3.0,2020-05-31
234,Partir,2018,1.0,2020-05-03
235,Three Identical Strangers,2018,1.0,2021-08-03
236,Never Look Away,2018,2.5,2023-05-11
237,Retratos Sobre o Não Ver,2018,2.0,2020-05-13
238,Dela,2018,3.0,2020-05-12
239,Nefta Football Club,2018,4.5,2020-07-17
240,Elegy of a Crime,2018,3.5,2020-08-22
241,A Triste Figura,2018,2.0,2020-04-22
242,SHOUT!,2018,0.5,2021-05-12
243,The Silences,2018,4.0,2020-08-24
244,Tea for Two,2018,0.5,2020-05-02
245,Renovation,2018,2.0,2020-07-09
246,Coração É Terra que Ninguém Vê,2018,1.0,2020-04-27
247,Azougue Nazareth,2018,3.5,2020-08-01
248,The Trial,2018,1.0,2023-03-07
249,Bird Karma,2018,2.0,2020-05-31
250,The Asphalt Kiss,2018,4.0,2020-11-01
251,Paradise Lost,2018,4.0,2020-10-26
252,Bohemian Rhapsody,2018,1.5,2020-12-14
253,O Grande Amor de um Lobo,2018,4.0,2020-05-19
254,O Mar é Ali em Cima,2018,3.0,2021-02-21
255,Drawing Life,2018,2.5,2020-05-18
256,Bao,2018,4.0,2020-09-25
257,Entremarés,2018,3.0,2020-05-18
258,Brasil Impossível,2018,5.0,2019-01-30
259,Minha Vida em Marte,2018,0.5,2021-02-10
260,Guaxuma,2018,5.0,2020-06-28
261,Que Som Tem a Distância?,2018,3.5,2019-03-22
262,Meu Preço,2018,2.5,2020-06-27
263,Island,2018,4.5,2020-06-24
264,Um Lugar ao Sul,2018,3.5,2020-09-21
265,The Feather Pillow,2018,2.0,2020-05-18
266,Vento de Sal,2018,2.0,2020-05-19
267,Rend Your Heart,2018,2.5,2019-04-27
268,Maria,2018,4.0,2020-06-22
269,ELEGGUA,2018,3.0,2020-06-28
270,Planeta Fábrica,2019,3.0,2020-05-16
271,Só Jesus salva,2019,1.0,2020-07-28
272,Marco,2019,3.0,2020-05-16
273,Nove Águas,2019,2.0,2020-05-05
274,Duda,2019,2.0,2020-05-02
275,Estranho Animal,2019,1.0,2020-05-16
276,Name of Baptism — Frances,2019,2.0,2020-05-03
277,Avoada,2019,2.0,2020-05-03
278,Só Sei Que Foi Assim,2019,3.0,2020-05-02
279,31 de março Brazil,2019,4.0,2020-05-03
280,Parasite,2019,3.5,2020-06-03
281,As Constituintes de 88,2019,3.0,2020-05-16
282,El B(eso),2019,2.0,2020-08-23
283,Trench,2019,2.5,2020-08-22
284,In the Heart of the World,2019,2.0,2020-06-18
285,Invisible Life,2019,4.5,2020-07-04
286,1996,2019,2.0,2020-07-10
287,Êles,2019,3.0,2020-07-10
288,Mi Abuelo Conoce a King Kong,2019,0.5,2020-08-21
289,Greta,2019,2.0,2020-08-21
290,Livro e Meio,2019,4.0,2020-05-02
291,Em Reforma,2019,3.0,2020-07-10
292,Different,2019,3.0,2020-08-20
293,Champ de Mars,2019,3.5,2020-08-20
294,The Little Soul,2019,3.0,2020-08-24
295,I don't live here anymore,2019,4.0,2020-05-02
296,Bacurau no Mapa,2019,2.0,2020-04-11
297,A Mulher que Sou,2019,2.0,2020-05-02
298,Apneia,2019,3.5,2020-05-14
299,Marie,2019,4.0,2020-05-11
300,Rocha,2019,0.5,2020-05-12
301,Vivi Wolf and the Magical Room,2019,3.5,2020-05-14
302,Joderismo,2019,3.0,2020-05-11
303,Lavender,2019,2.5,2020-05-14
304,A Era de Lareokotô,2019,3.0,2020-05-11
305,Lolo,2019,3.0,2020-05-13
306,Islands of Heat,2019,2.0,2020-05-09
307,Poetic of Clay,2019,1.0,2020-05-09
308,A Profundidade da Areia,2019,2.0,2020-05-03
309,Contra-Filé,2019,4.0,2020-05-05
310,Pelano!,2019,4.0,2020-08-30
311,Vou Nadar Até Você,2019,0.5,2020-09-19
312,Ford v Ferrari,2019,2.5,2020-11-01
313,Letrux em Noite de Climão: Ao Vivo,2019,3.0,2020-01-05
314,Midsommar,2019,4.0,2020-03-20
315,Alice Júnior,2019,2.5,2020-10-16
316,Buck,2019,2.0,2020-08-20
317,Julho,2019,1.5,2020-04-27
318,Summer Ball,2019,4.0,2020-05-01
319,Party Over,2019,4.5,2020-09-29
320,The Strong Ones,2019,2.5,2020-09-23
321,The Most Beloved,2019,2.0,2020-05-01
322,Ele Não,2019,2.0,2020-09-14
323,Frogs,2019,3.0,2020-05-05
324,Bacurau,2019,4.0,2019-09-01
325,המכנסיים של פושקין,2019,2.5,2020-08-20
326,Opera Night Feather,2019,1.0,2020-08-21
327,Divine Love,2019,1.0,2020-08-15
328,Vamos Ficar Sozinhas,2019,3.0,2021-03-25
329,Their Happiness,2019,1.5,2021-04-22
330,Relatos Tecnopobres,2019,0.5,2021-04-22
331,Dolemite Is My Name,2019,3.5,2021-01-06
332,Anna,2019,3.0,2021-05-28
333,Three Summers,2019,1.5,2021-04-16
334,A Love Song for Latasha,2019,2.5,2021-04-14
335,A Treat of Coutinho,2019,3.0,2021-08-27
336,The Twelve,2019,3.5,2023-06-15
337,Filhas de Lavadeiras,2019,3.0,2021-03-02
338,M8 - When Death Rescues Life,2019,1.0,2021-02-27
339,She Who Wears the Rain,2019,3.0,2021-02-26
340,Rebu - A Egolombra de uma Sapatão Quase Arrependida,2019,4.0,2021-01-27
341,Partida,2019,3.0,2021-07-29
342,Refavela 40,2019,4.0,2021-02-17
343,Tônica da Cidade,2019,1.5,2021-05-27
344,Aperto,2019,2.0,2021-05-26
345,Surviving R. Kelly,2019,3.0,2021-10-31
346,Little Women,2019,3.5,2023-03-08
347,Obatala Film,2019,5.0,2021-05-15
348,Pacarrete,2019,3.0,2021-05-04
349,Marighella,2019,3.0,2021-05-23
350,Clear Valley Report,2019,2.0,2020-08-24
351,Mercy,2019,2.5,2020-07-18
352,Daughter,2019,3.0,2021-02-26
353,Terra,2019,3.0,2020-09-21
354,Sadla,2019,2.5,2021-03-02
355,Cru,2019,1.5,2020-05-31
356,Joker,2019,2.5,2020-08-04
357,Extracts,2019,2.0,2020-05-18
358,Daniel,2019,4.0,2020-08-24
359,And Then the Bear,2019,3.0,2020-06-01
360,Foil Man,2019,0.5,2020-08-25
361,Marooned,2019,3.0,2020-05-31
362,Bonde,2019,1.5,2020-05-17
363,I Bleed,2019,3.0,2020-05-17
364,Tempestade,2019,3.0,2020-05-17
365,A Ética das Hienas,2019,1.0,2020-05-17
366,A Primeira Foto,2019,2.0,2020-05-17
367,Jorge,2019,1.5,2020-05-17
368,eu acho que o cinema devia ser de graça para o povo,2019,1.5,2020-07-28
369,Angela,2019,4.0,2020-05-18
370,Mona,2019,3.0,2020-05-17
371,The Distance Between Us and the Sky,2019,2.0,2020-05-31
372,W,2019,5.0,2020-08-25
373,Virago,2019,2.5,2020-08-26
374,Garden City Beautiful,2019,4.5,2020-08-28
375,Resurrection,2019,3.5,2020-05-19
376,BLACKN3SS,2019,2.0,2020-05-18
377,Sem Asas,2019,4.0,2020-05-18
378,The Intruder,2019,0.5,2020-12-11
379,Licença Poética,2019,2.5,2020-05-18
380,Fartura,2019,5.0,2020-05-19
381,First Carnival,2020,1.5,2021-01-27
382,Paciente,2020,1.0,2020-07-28
383,Uma Noite Sem Lua,2020,1.0,2021-01-29
384,Sobre Nossas Cabeças,2020,2.0,2021-03-02
385,Tudo Bem,2020,2.0,2021-01-11
386,Vitória,2020,2.5,2021-01-29
387,Yesterday There Were Strange Things in the Sky,2020,3.0,2020-10-18
388,El Club,2020,2.0,2020-08-23
389,Preces Precipitadas de um Lugar Sagrado Que Não Existe Mais,2020,1.0,2021-01-27
390,Sing Along,2020,3.0,2021-03-02
391,Você tem Olhos Tristes,2020,1.5,2021-01-29
392,Novo Mundo,2020,3.5,2021-01-27
393,PIETÀ,2020,3.0,2021-01-26
394,4 Billions Infinites,2020,4.0,2021-01-26
395,A Pontualidade dos Tubarões,2020,2.0,2021-01-24
396,Pátria,2020,3.0,2021-01-26
397,Pega-se Facção,2020,4.0,2021-01-26
398,Dogs’ Street Opera,2020,1.0,2021-01-26
399,The Mineral World,2020,3.0,2021-01-26
400,O menino e o ovo,2020,2.0,2021-01-26
401,Rodson ou (Onde o Sol Não Tem Dó),2020,3.0,2021-01-25
402,The Fantastic Garden,2020,1.5,2021-01-25
403,Casa com Parede,2020,2.5,2021-01-25
404,The Queen's Gambit,2020,3.5,2020-11-24
405,À Beira do Planeta Mainha Soprou a Gente,2020,4.0,2021-01-24
406,I Care a Lot,2020,1.0,2021-03-08
407,Rádio Capital Alvorada,2020,1.5,2021-01-27
408,Rehak,2020,0.5,2020-08-22
409,Won't You Come Out To Play,2020,1.0,2021-01-25
410,Shunkan,2020,2.0,2020-08-25
411,The Devil All the Time,2020,2.5,2021-01-03
412,Saucy Toinha,2020,2.5,2021-02-13
413,It Will Get Better,2020,4.0,2020-08-25
414,She Who Lives Upstairs,2020,2.0,2021-01-30
415,Letícia Monte Bonito 04,2020,3.0,2021-01-30
416,Menarche,2020,2.5,2021-01-30
417,Little Fires Everywhere,2020,3.5,2023-09-17
418,Ângelo,2020,4.0,2020-10-07
419,Have You Ever Tried to Look Into My Eyes?,2020,3.0,2021-01-30
420,Noções de Casa,2020,2.5,2021-01-29
421,I'm Thinking of Ending Things,2020,0.5,2020-09-08
422,Out of Place,2020,2.0,2021-01-29
423,The Social Dilemma,2020,1.0,2020-10-05
424,Emicida: AmarElo - It's All for Yesterday,2020,4.0,2020-12-16
425,La Mamita,2020,2.5,2020-08-25
426,Veronica,2020,2.0,2020-08-21
427,The Father,2020,2.0,2021-04-23
428,My Name Is Baghdad,2020,4.0,2020-08-19
429,Whales Don't Swim,2020,3.0,2020-08-20
430,Barbie & Bob,2020,1.5,2020-08-20
431,Two Distant Strangers,2020,1.0,2021-04-14
432,Canvas,2020,2.0,2021-04-14
433,Lírio Vermelho,2020,1.5,2020-08-20
434,Weekend,2020,2.5,2020-08-24
435,Céu Na Terra,2020,1.0,2020-08-28
436,Morde & Assopra,2020,0.5,2021-04-22
437,SAPATÃO: uma racha/dura no sistema,2020,2.0,2021-01-27
438,Monday,2020,0.5,2023-04-23
439,ADUPÉ OBALUAÊ,2020,,2021-05-26
440,Circus Person,2020,2.5,2020-05-31
441,Na minha frente,2020,,2021-05-26
442,Republic,2020,4.5,2020-05-30
443,Mission Persephone,2020,2.0,2020-05-30
444,The Wood,2020,2.5,2021-05-26
445,16,2020,2.5,2021-05-28
446,Emma.,2020,2.5,2022-10-18
447,Ney - À Flor da Pele,2020,2.5,2021-08-24
448,Elementos Naturais,2020,1.0,2020-07-28
449,Cliché,2020,2.0,2021-05-29
450,Purple Dictatorship,2020,2.0,2020-07-10
451,A Day with Jerusa,2020,2.5,2021-08-02
452,Todas as Melodias,2020,1.0,2021-07-25
453,Saucy Toinha,2020,4.0,2021-08-27
454,Depois da Meia Noite,2020,1.5,2020-07-12
455,A Hora Morta,2020,1.0,2020-07-12
456,Sobrevida,2020,0.5,2020-07-28
457,New York New York,2020,2.0,2020-07-17
458,Em Nome de Deus,2020,3.0,2020-07-18
459,The Boat and the River,2020,3.0,2021-01-29
460,Sergio,2020,2.0,2021-08-10
461,Difícil é Não Brincar,2020,2.5,2020-08-21
462,My Salinger Year,2020,2.0,2021-09-27
463,Stone,2020,1.0,2021-05-27
464,Campo dos Afonsos,2020,0.5,2020-07-18
465,The Other,2020,3.5,2021-05-27
466,PLAGUE INC.,2020,1.0,2020-06-01
467,Two War Images,2020,0.5,2020-08-30
468,Caminhos na Noite,2020,0.5,2021-01-25
469,De Dora por Sara,2020,2.5,2021-01-29
470,videomemoria,2020,2.0,2021-01-28
471,Batom vermelho sangue,2020,2.5,2021-01-12
472,Of the Observatory I Saw,2020,1.0,2020-08-30
473,Ainda Te Amo Demais,2020,3.0,2021-01-24
474,Três Graças,2020,2.0,2021-01-28
475,5 Fitas,2020,4.0,2021-01-24
476,23 Minutos,2020,3.5,2021-01-24
477,Travelling Wind,2020,3.0,2021-01-28
478,Napo,2020,2.0,2021-01-28
479,Vida Dentro de um Melão,2020,3.0,2021-01-28
480,Soyka,2020,1.0,2021-05-27
481,Foguete,2020,3.0,2021-01-28
482,Paisagem é Narrativa,2020,1.5,2020-06-15
483,Iracema Plaza Hotel,2020,3.0,2021-05-27
484,To the End,2020,3.5,2020-06-24
485,Enola Holmes,2020,1.0,2023-05-21
486,If Anything Happens I Love You,2020,1.0,2020-11-24
487,Ma Rainey's Black Bottom,2020,1.0,2021-04-27
488,Comentários a respeito de Belchior,2020,1.5,2020-07-28
489,Sunday Movie,2020,1.5,2021-01-27
490,Around Copacabana,2020,4.0,2020-05-18
491,Sketches,2021,1.5,2021-01-28
492,Abjetas 288,2021,3.5,2021-01-27
493,The Serpent,2021,3.0,2021-07-05
494,Night Mode,2021,1.0,2021-03-02
495,Elize Matsunaga: Once Upon a Crime,2021,3.0,2021-07-15
496,Deadly Illusions,2021,0.5,2021-04-11
497,How to Hack Your Boss,2021,0.5,2021-08-06
498,Cruella,2021,0.5,2022-01-08
499,Confessions of an Invisible Girl,2021,0.5,2021-09-29
500,Maid,2021,4.0,2021-10-07
501,Behind Her Eyes,2021,1.0,2021-02-20
502,Capécia,2021,1.0,2021-02-26
503,Levantado do Chão,2021,2.5,2021-01-29
504,Windows from Here,2021,3.0,2021-05-27
505,Carnaval,2021,0.5,2021-06-23
506,From Another Seasons,2021,3.0,2021-01-26
507,Vander,2021,2.5,2021-01-28
508,Spring Forever,2021,3.0,2021-05-28
509,Halston,2021,2.5,2021-06-19
510,Double Dad,2021,1.5,2021-01-18
511,Inspirações,2021,3.0,2021-02-27
512,Parallel Mothers,2021,3.0,2023-05-28
513,7 Women and a Murder,2021,0.5,2023-06-25
514,Babelon,2021,1.5,2021-01-25
515,Animais na Pista,2021,3.5,2021-01-25
516,A Destruição do Planeta Live,2021,2.0,2021-01-24
517,Sing 2,2021,,2023-09-10
518,Quarta: Dia de Jogo,2021,3.0,2021-01-27
519,Fireflies,2021,0.5,2021-01-28
520,Menina Veneno,2021,1.0,2021-05-28
521,Sunflower,2021,0.5,2021-05-26
522,Malcolm & Marie,2021,1.5,2021-02-15
523,El barbero,2021,1.0,2021-05-29
524,Sonnez Après Minuit,2021,4.0,2020-08-25
525,Truth Comes Out of its Well to Shame Mankind,2021,2.5,2021-01-24
526,Everything Everywhere All at Once,2022,4.0,2023-08-20
527,Chile '76,2022,2.5,2023-06-08
528,The 7 Lives of Lea,2022,4.0,2022-10-02
529,Inside Man,2022,2.0,2023-06-02
530,Do Revenge,2022,2.0,2022-10-10
531,Enola Holmes 2,2022,1.0,2023-05-21
532,Persuasion,2022,0.5,2023-03-22
533,Oppenheimer,2023,3.5,2023-07-31
534,Your Place or Mine,2023,0.5,2023-03-07
535,Transatlantic,2023,2.5,2023-04-20
536,BEEF,2023,4.0,2023-04-14
537,The Lost Flowers of Alice Hart,2023,4.0,2023-09-28
