,EU COUNTRIES,TOTAL IMMIGRANTS(IN THOUSANDS),IMMIage),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(%age),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(%age),STATELESS IMMIGRANTS(THOUSANDS),IMMIGRANTS WITH NATIONALITY(%age),NON-NATIONAL IMMIGRANTS (THOUSANDS),NON-NATIONAL IMMIGRANTS (%,NUMBER OF IMMIGRANTS(PER THOUSAND INHABITANTS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NON-NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE(UNKNOWN),PERCENTAGE OF IMMIGRANTS BY SEX(MALE),PERCENTAGE OF IMMIGRANTS BY SEX(FEMALE),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF EU MEMBER STATES),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF NON-EU COUNTRIES),%AGE OF FOREIGN BORN IMMIGRANTS BY TOTAL POPULATION,%AGE OF BORN IN ANOTHER EU-MEMBER STATES,%AGE OF BORN IN NON-EU COUNTRY
4,Cyprus,24.0,16.6,20.0,83.4,8.0,33.2,12.1,50.2,0.0,0.0,26.7,16.6,83.4,0.0,46.5,53.5,10.4,8.4,22.7,10.6,12.2
9,France,336.4,31.7,229.8,68.3,58.6,17.4,171.1,50.9,0.0,0.0,5.0,31.7,68.3,0.0,49.6,50.4,2.2,5.6,12.7,2.9,9.9
24,Portugal,50.7,75.3,12.5,24.7,3.2,6.3,9.4,18.5,0.0,0.0,4.9,75.3,24.7,0.0,50.9,49.1,1.6,5.1,11.6,2.8,8.8
29,Sweden,90.6,17.7,74.4,82.1,22.9,25.3,51.1,56.4,0.4,0.4,8.7,17.7,82.1,0.3,51.3,48.7,2.9,5.3,20.0,5.1,14.9
28,Spain,528.9,13.7,456.6,86.3,110.2,20.8,346.0,65.4,0.4,0.1,11.2,13.7,86.3,0.0,51.6,48.4,3.7,7.7,15.5,3.5,12.0
17,Liechtenstein,0.7,25.0,0.5,75.0,0.2,36.5,0.3,38.6,0.0,0.0,17.1,25.0,75.0,0.0,51.6,48.4,18.0,16.4,68.6,21.3,47.3
14,Ireland,80.7,40.6,47.0,58.2,17.2,21.3,29.7,36.8,0.0,0.0,16.0,40.6,58.2,1.2,51.6,48.4,7.0,6.2,17.9,6.7,11.2
21,Netherlands,214.1,18.8,173.3,80.9,89.8,42.0,82.7,38.6,0.7,0.3,12.2,18.8,80.9,0.3,51.8,48.2,3.7,3.3,14.5,4.0,10.5
26,Slovakia,5.7,65.1,2.0,34.9,1.5,26.6,0.5,8.3,0.0,0.0,1.1,65.1,34.9,0.0,52.3,47.7,0.7,0.4,3.9,2.9,1.0
15,Italy,318.4,23.5,243.6,76.5,44.4,14.0,199.1,62.5,0.0,0.0,5.4,23.5,76.5,0.0,52.8,47.2,2.4,6.2,10.4,2.6,7.8
30,Switzerland,144.9,15.3,122.7,84.7,83.7,57.7,39.1,27.0,0.0,0.0,16.6,15.3,84.7,0.0,52.9,47.1,16.4,9.2,29.7,16.4,13.3
19,Luxembourg,25.3,6.2,23.7,93.6,15.7,62.0,8.0,31.5,0.0,0.1,39.6,6.2,93.6,0.2,54.0,46.0,38.1,9.0,49.4,33.8,15.6
6,Denmark,63.5,25.5,47.3,74.4,29.6,46.6,17.6,27.7,0.1,0.1,10.8,25.5,74.4,0.0,54.2,45.8,4.0,5.4,12.7,4.2,8.5
22,Norway,53.9,13.6,46.6,86.4,26.6,49.3,19.9,36.9,0.1,0.2,10.0,13.6,86.4,0.0,54.4,45.6,6.7,4.1,16.7,6.7,10.1
1,Belgium,139.7,12.4,121.7,87.1,63.1,45.2,58.5,41.9,0.0,0.0,12.1,12.4,87.1,0.5,54.9,45.1,8.2,4.6,18.2,7.9,10.3
2,Bulgaria,39.5,56.0,17.3,43.9,5.5,13.8,11.8,30.0,0.0,0.1,5.7,56.0,43.9,0.1,55.1,44.9,0.2,1.6,3.2,1.0,2.2
8,Finland,36.4,22.9,28.0,76.9,8.1,22.2,19.9,54.6,0.0,0.1,6.6,22.9,76.9,0.3,55.5,44.5,1.9,3.4,7.7,2.3,5.4
10,Germany,874.4,17.0,722.2,82.6,291.4,33.3,430.3,49.2,0.5,0.1,10.5,17.0,82.6,0.4,57.1,42.9,5.4,7.6,18.4,7.5,10.9
0,Austria,118.5,8.1,108.8,91.8,64.4,54.4,44.1,37.2,0.3,0.2,13.2,8.1,91.8,0.1,57.5,42.5,9.2,8.3,20.4,9.3,11.1
11,Greece,57.1,49.7,28.7,50.3,3.3,5.8,25.4,44.5,0.0,0.0,5.4,49.7,50.3,0.0,58.0,42.0,1.1,6.0,11.5,2.4,9.1
13,Iceland,9.0,22.1,7.0,77.9,5.3,58.5,1.7,19.4,0.0,0.0,24.1,22.1,77.9,0.0,58.0,42.0,11.6,3.0,19.1,12.6,6.4
12,Hungary,80.5,39.0,49.1,61.0,13.0,16.1,36.1,44.8,0.0,0.0,8.3,39.0,61.0,0.0,58.3,41.7,0.8,1.3,6.3,3.5,2.9
25,Romania,194.6,76.8,45.0,23.1,9.9,5.1,35.2,18.1,0.0,0.0,10.2,76.8,23.1,0.0,58.5,41.5,0.1,0.1,1.7,1.0,0.7
7,Estonia,19.5,36.1,12.3,63.1,4.1,20.9,8.2,42.2,0.0,0.0,14.7,36.1,63.1,0.8,60.3,39.7,1.6,13.6,15.1,1.9,13.1
27,Slovenia,23.6,16.8,19.7,83.2,2.7,11.4,17.0,71.8,0.0,0.0,11.2,16.8,83.2,0.0,61.2,38.8,1.0,7.2,14.0,3.0,11.0
5,Czechia,69.4,4.2,66.4,95.8,14.5,21.0,51.9,74.8,0.0,0.0,6.6,4.2,95.8,0.0,61.4,38.6,1.6,3.5,4.3,1.3,3.0
20,Malta ,18.1,15.3,15.4,84.7,7.0,38.7,8.3,46.0,0.0,0.0,35.0,15.3,84.7,0.0,61.4,38.6,8.6,12.0,23.6,7.9,15.7
23,Poland,241.1,18.0,197.7,82.0,80.4,33.3,117.3,48.6,0.0,0.0,6.4,18.0,82.0,0.0,61.8,38.2,0.1,1.1,2.5,0.6,1.9
16,Latvia ,12.7,48.9,6.4,50.7,0.7,5.5,5.7,45.1,0.0,0.1,6.7,48.9,50.7,0.3,66.2,33.8,0.4,12.7,11.9,1.2,10.7
18,Lithuania,44.9,52.9,21.1,47.1,0.9,2.1,20.1,44.8,0.1,0.2,16.0,52.9,47.1,0.0,67.7,32.3,0.1,1.1,6.0,0.6,5.4
3,Croatia,35.9,29.6,25.3,70.4,4.8,13.2,20.5,57.2,0.0,0.0,9.1,29.6,70.4,0.0,72.7,27.3,0.3,0.6,12.2,1.7,10.6
